beta,mark_model,N,trial_idx,error,error_relative
0.5,localized-cusp,30000,9,0.05930984284791396,0.014159181994873505
0.5,localized-cusp,100000,0,0.0007122781506483378,0.000170043882798055
0.5,localized-cusp,100000,1,0.03324306275758193,0.007936196642074888
0.5,localized-cusp,100000,2,0.007258298658460838,0.0017327911648969726
0.5,localized-cusp,100000,3,0.023090245985120994,0.0055123901786096954
0.5,localized-cusp,100000,4,0.00028335783567978723,6.764670031838875e-05
0.5,localized-cusp,100000,5,0.002640130781263572,0.0006302847963707476
0.5,localized-cusp,100000,6,0.002086999677747947,0.0004982344724171677
0.5,localized-cusp,100000,7,0.020648839735120994,0.004929547369435274
0.5,localized-cusp,100000,8,0.0024780061474745096,0.0005915803910740087
0.5,localized-cusp,100000,9,0.002350446916490334,0.0005611278678518101
0.5,localized-cusp,1000000,0,0.003950956129163963,0.0009432212968434985
0.5,localized-cusp,1000000,1,0.006440046094984275,0.0015374477546346078
0.5,localized-cusp,1000000,2,0.010193708204359275,0.0024335685737402806
0.5,localized-cusp,1000000,3,0.01167142655763076,0.0027863478443714393
0.5,localized-cusp,1000000,4,0.014207723402113182,0.00339184411429307
0.5,localized-cusp,1000000,5,0.009569051527113182,0.002284442776861669
0.5,localized-cusp,1000000,6,0.002536180280775291,0.000605468442386368
0.5,localized-cusp,1000000,7,0.0043047693005506815,0.0010276879695793229
0.5,localized-cusp,1000000,8,0.0034192826977674784,0.0008162936147674282
0.5,localized-cusp,1000000,9,0.008008840345472557,0.0019119697941236405
